,63.2182,1159.1,1000,100,0,1,0,1,Platform.png
,1225.76,1240.62,500,100,0,1,0,1,Platform.png
,1825.06,1118.03,320,100,0,1,0,1,Platform.png
Platform,2238.23,975.903,400,100,0,1,0,1,Platform.png
,1373.6,807.737,400,100,0,1,0,1,Platform.png
,2326.62,643.138,400,100,0,1,0,1,Platform.png
Wall,1014.97,1108.73,50,50,0,1,0,1,Platform.png
Wall,61.141,1113.32,50,50,0,1,0,1,Platform.png
,3251.73,834.097,607.1,100,0,1,0,1,Platform.png
,3757.19,1185.1,1000,100,0,1,0,1,Platform.png
Wall,3756.95,928.204,100.4,263.7,0,1,0,1,Platform.png
,5052.96,836.732,100,362.2,0,1,0,1,Platform.png
Wall,4603.36,1055.25,50,130,0,1,0,1,Platform.png
,4924.31,908.383,133.01,51.4,0,1,0,1,Platform.png
,5052.46,739.563,500,100,0,1,0,1,Platform.png
,4754.63,1185.18,398.8,100,0,1,0,1,Platform.png
,6107.71,784.142,1230,100,0,1,0,1,Platform.png
,5148.67,1264.14,579.6,179.8,0,1,0,1,Platform.png
,6107.72,1263.73,2100,175.7,0,1,0,1,Platform.png
Wall,6106.88,881.857,100,168.1,0,1,0,1,Platform.png
Wall,7903.62,1115.12,303.2,109.4,0,1,0,1,Platform.png
Wall,7336.51,844.21,251.9,214.7,0,1,0,1,Platform.png
,8381.96,1041.91,950.9,424.8,0,1,0,1,Platform.png
,8254.06,1046.63,114.9,314,0,1,0,1,Platform.png
,8758.54,821.563,205.5,207.6,0,1,0,1,Platform.png
,8974.05,809.561,207.1,209.3,0,1,0,1,Platform.png
,8657.25,972.295,100.7,76.2,0,1,0,1,Platform.png
,9422.89,811.179,809.9,63.5,0,1,0,1,Platform.png
,10342.5,737.912,212.3,212.4,0,1,0,1,Platform.png
,10574.5,738.966,212,212,0,1,0,1,Platform.png
,10806.5,739.298,212,212,0,1,0,1,Platform.png
,11036.5,738.966,300,212,0,1,0,1,Platform.png
Wall,11214.5,611.473,177,729.6,0,1,0,1,Platform.png
,10340,736.795,900,212,0,1,0,1,
,11442.8,523.824,896.9,277.9,0,1,0,1,Platform.png
,11571.3,784.019,761.2,653.4,0,1,0,1,Platform.png
